Dataset 1,,,Dataset 2,,,Dataset 3,,,Dataset 4,,,Dataset 5,
0.741041444,9.610345525,,2.481924024,7.852732884,,0.3125,8.4375,,2,5.132005377,,5.977707998,6.419764183
8.835405445,3.564188973,,6.412692494,0.937687136,,0.3125,8.75,,2,4.854994184,,2.613928522,9.728284411
9.638072486,4.555333882,,7.022030336,4.824838939,,0.3125,9.0625,,1.527587902,5.879755782,,3.254699352,6.849556409
7.647317403,2.60851076,,3.017779237,3.093830364,,0.3125,9.375,,1.120817183,4.069066118,,1.505171735,3.972831782
3.069329409,3.896968015,,4.222111993,9.38579691,,0.3125,9.6875,,3.198590916,6.203425504,,3.728785669,6.656480865
3.665243089,5.614499312,,5.786124047,1.15536281,,0.3125,10,,1.142435954,5.178835605,,2.021257706,6.850958482
9.529335395,9.226720619,,4.530735769,3.74531207,,0.625,0.3125,,2.035619817,5.246336476,,0.808977698,3.60087832
8.675483145,4.257533239,,5.695579038,2.772906446,,0.625,0.625,,1.389164711,6.504770856,,1.78956492,2.517117482
3.38654756,4.015376184,,5.815574392,0.286858926,,0.625,0.9375,,1.623832432,5.873930331,,6.584597632,2.063713337
7.022601701,3.03650256,,6.471736678,2.471711919,,0.625,1.25,,1.201491036,4.404886469,,0.500926165,4.67434609
2.965763434,7.043188142,,0.002746707,7.082992507,,0.625,1.5625,,0.131293314,4.227576923,,9.892014414,4.163571814
8.693737806,4.914827978,,3.096492431,2.283590365,,0.625,1.875,,2.91097237,5.902085737,,6.78421967,7.038697234
8.871761323,2.629255858,,9.223489742,1.30133454,,0.625,2.1875,,2.135503223,6.5707016,,2.51963136,9.426143426
0.327287525,0.517169522,,4.430068444,6.577372919,,0.625,2.5,,2.857933937,5.108732924,,9.416482101,0.864302886
5.545141583,7.671952042,,3.714559951,8.869124676,,0.625,2.8125,,2.759264419,4.55019793,,0.207296513,3.818686542
1.024104507,9.620203208,,9.810733082,8.83185084,,0.625,3.125,,1.816843474,5.6063919,,9.591417145,9.300478954
9.974889858,9.862826097,,4.803493911,5.791934513,,0.625,3.4375,,3.43508109,4.611667058,,4.275195792,7.482528215
5.295926633,8.727880403,,2.643854709,8.67336031,,0.625,3.75,,3.343815723,3.900861517,,0.856312726,9.689912041
8.926979825,0.844566958,,8.09916728,1.645055559,,0.625,4.0625,,3.996630445,4.879502143,,2.42744173,7.635758208
8.711089968,7.550326504,,0.729424303,6.301359147,,0.625,4.375,,0.741436475,4.915796394,,2.231361787,9.16346765
8.11607395,4.765445702,,1.156193846,3.869931031,,0.625,4.6875,,2.817422002,6.167629541,,7.352325534,9.020167091
2.980411152,6.633246915,,5.721446633,5.141333247,,0.625,5,,3.922664648,6.297156724,,3.199182311,5.776481718
8.566492086,7.289097073,,1.010706993,2.217388261,,0.625,5.3125,,3.037987111,5.198667807,,3.539212763,3.648893534
7.774332258,2.480110455,,6.349302445,0.203410439,,0.625,5.625,,2.719522724,5.860376093,,3.159074815,9.710302406
9.246407193,4.960800949,,4.220967474,1.307436393,,0.625,5.9375,,2.209199597,4.386327837,,5.63353189,0.481888028
5.630889704,5.084781129,,0.012135816,8.080961593,,0.625,6.25,,2.215704784,5.073062062,,4.326464401,5.715617639
0.028659219,9.563328201,,6.218750091,7.200333418,,0.625,6.5625,,2.352838887,4.180606552,,1.230929597,4.134191354
2.800145054,7.865895263,,2.607337583,1.328710504,,0.625,6.875,,1.252563303,3.682783266,,5.204953106,2.538597187
5.5124539,5.335247929,,8.485433569,2.861327836,,0.625,7.1875,,1.071248454,4.541263759,,6.181381459,2.301858283
0.147461793,3.881355468,,8.67865156,8.041878874,,0.625,7.5,,2.507068204,3.619141223,,8.971012937,9.334455257
9.945146997,9.980214265,,1.296403494,5.857583792,,0.625,7.8125,,2.082848734,4.522121438,,9.060174038,7.412426409
0.574982532,0.104051049,,2.623394546,5.246442582,,0.625,8.125,,1.465025795,4.11082037,,5.500281755,8.884757826
0.74251456,0.234644284,,9.788835016,6.922187797,,0.625,8.4375,,1.26162895,5.688504052,,0.293756469,9.637972217
7.958824101,1.924741424,,6.661389116,5.881635019,,0.625,8.75,,1.421836403,4.006289948,,7.163130331,4.826457766
2.187890474,1.253727945,,5.401010442,6.283197453,,0.625,9.0625,,2.573504108,4.122339659,,7.344907383,7.502985138
2.268899428,2.639710628,,6.343311418,1.455458622,,0.625,9.375,,1.989888077,7.005638564,,6.61490145,3.687864271
8.562993502,5.300768295,,0.725094354,0.555015096,,0.625,9.6875,,1.23029249,4.890736905,,6.176983393,9.440335879
7.700079739,5.778637404,,8.003011968,7.021841338,,0.625,10,,2.413839116,4.494022488,,0.057766509,7.419888091
5.555621416,3.415053498,,2.507667248,0.890724188,,0.9375,0.3125,,1.1798293,5.408928137,,7.33956791,4.072490985
9.067875744,6.81913236,,1.110925789,8.377681051,,0.9375,0.625,,1.310113718,4.022582212,,4.032980284,1.745578236
4.923763094,4.269253861,,8.536567256,5.765408414,,0.9375,0.9375,,1.814794391,5.871427294,,5.386538404,9.095809774
9.785944292,4.465179978,,9.331647439,9.143282879,,0.9375,1.25,,0.815092586,4.908878738,,2.94486804,9.37206714
7.122221852,5.208292078,,9.235473581,7.837644137,,0.9375,1.5625,,2.050759219,4.338226203,,1.370652311,2.631512724
9.872225559,5.894428869,,7.688646761,1.701040337,,0.9375,1.875,,3.309409671,3.913440059,,2.814076223,1.635118129
4.720658045,2.992105486,,1.022457598,4.676445937,,0.9375,2.1875,,2.236280714,3.823312924,,2.767197022,9.20370296
5.695475559,4.810174118,,4.74761188,5.317881577,,0.9375,2.5,,0.303911452,5.334502634,,1.75438402,9.121379667
7.603232764,3.125211539,,8.797174467,0.751226315,,0.9375,2.8125,,2.8633037,4.208563362,,8.050804667,3.602178219
9.821235799,0.089009455,,6.719843112,8.782179483,,0.9375,3.125,,1.547489132,5.015517752,,4.827178359,8.341930031
0.489474327,5.148430944,,2.747190622,1.100696445,,0.9375,3.4375,,1.53849859,7.014687459,,3.610671885,1.496417368
2.728176894,3.305250461,,7.738404789,5.270964271,,0.9375,3.75,,2.558778815,5.268475061,,8.956805808,0.317614599
1.598463441,3.246332982,,6.453706845,3.38494751,,0.9375,4.0625,,2.092734035,4.633489387,,3.893367588,9.497248284
6.827750185,4.900274451,,6.01310329,2.57949429,,0.9375,4.375,,2.468882182,5.648637209,,7.855772661,9.006247581
9.15253863,2.644185569,,7.462147033,4.928733092,,0.9375,4.6875,,1.0774982,5.833573214,,9.003812753,0.757134412
3.012270721,7.22013741,,8.637179413,5.379940632,,0.9375,5,,3.702043892,6.472163635,,3.522474662,4.567296652
8.073940757,0.128492678,,2.254934237,2.235009022,,0.9375,5.3125,,3.195070587,5.145364553,,8.213823287,0.522125088
8.80666289,4.634781425,,5.225200476,6.142344591,,0.9375,5.625,,2.128748651,5.200568835,,6.785168151,6.31454003
2.078965992,7.516029236,,9.342564204,4.813628957,,0.9375,5.9375,,4.108265617,3.272623652,,9.095014234,5.779327542
0.205591474,0.126741147,,8.645711486,5.959283452,,0.9375,6.25,,1.464454639,4.592416487,,5.892980337,9.338126748
7.790403231,9.041681824,,7.677623347,9.135135955,,0.9375,6.5625,,0.869672237,5.880098545,,4.918408577,5.68009315
8.750904771,9.274797087,,2.148308922,1.997653053,,0.9375,6.875,,1.146914779,5.079166701,,2.745445526,6.212215401
9.92596718,3.606448229,,2.478026317,3.029899725,,0.9375,7.1875,,2.139509713,5.060493706,,5.739541112,8.92364096
3.69989898,1.568022711,,0.742339623,8.565079432,,0.9375,7.5,,2.119979974,5.320448318,,9.777892246,8.414210256
4.704361829,0.094769076,,8.812056629,7.6701438,,0.9375,7.8125,,1.967265675,5.826161603,,4.026031468,0.611031825
6.693124762,9.008281367,,0.488619201,6.076636506,,0.9375,8.125,,0.167101781,3.284915681,,0.004183667,5.116974707
3.142711847,3.520655826,,1.374545992,6.935173581,,0.9375,8.4375,,0.348636646,3.790557107,,8.662778769,5.070443022
7.360104233,5.660501334,,7.193565865,9.128304865,,0.9375,8.75,,1.786449075,4.073317293,,5.305295604,2.588701054
1.042481771,9.442277357,,6.218497722,6.171288112,,0.9375,9.0625,,3.147088362,4.876946596,,7.152163573,5.529572302
5.733524788,3.455818389,,9.755784364,6.517983518,,0.9375,9.375,,3.459662967,5.458801108,,0.120772729,2.215800106
3.477023376,9.975211126,,8.090227081,7.018340581,,0.9375,9.6875,,0.954330016,5.398423277,,2.062336505,4.473136723
8.993596689,0.763877001,,0.797028334,5.127827903,,0.9375,10,,3.503656033,4.26015234,,0.737702803,6.480986443
7.274001737,8.903195862,,2.125101737,6.765763881,,1.25,0.3125,,2.086326428,6.078415692,,8.796118024,2.143226907
1.592836354,3.623315181,,7.237804048,7.758512448,,1.25,0.625,,3.137368687,3.165995988,,7.840470876,8.03602951
2.260108804,2.222752005,,0.021487189,3.257076034,,1.25,0.9375,,3.831680943,4.020585266,,0.171132365,2.432477268
5.960505064,6.091746904,,7.390066187,1.09740634,,1.25,1.25,,3.68830688,4.559659962,,6.890571166,3.795497579
2.515633618,1.609773538,,1.564628876,1.411555474,,1.25,1.5625,,4.19934972,2.76552128,,5.702487735,7.467806254
9.040149158,4.994435601,,2.799114315,1.648352234,,1.25,1.875,,1.594003317,4.430120391,,9.924744952,0.484260016
5.658608542,8.159756317,,2.607185763,3.801843614,,1.25,2.1875,,2.564682485,4.019636564,,9.775514897,8.155713781
8.852169382,0.867725149,,0.609800732,3.649555327,,1.25,2.5,,3.196102988,5.83731413,,0.005473965,6.08376848
3.578712358,5.010030485,,9.375215493,1.692190383,,1.25,2.8125,,1.444098637,5.537506616,,5.428448605,9.431759078
4.538140133,5.816392575,,1.688447523,5.821176029,,1.25,3.125,,3.517182578,4.833733298,,7.253623284,3.85833721
5.047287219,4.424451967,,3.627784108,4.872229692,,1.25,3.4375,,2.692895388,4.722251074,,1.806878665,3.721299758
4.293877037,2.520873915,,1.886941955,9.283995247,,1.25,3.75,,2.571872653,2.534478449,,9.040949533,1.015213983
0.820747185,1.045127163,,3.469719145,8.384213576,,1.25,4.0625,,1.322948027,5.108238179,,4.3964696,7.320902014
1.017929837,9.036286957,,5.166383186,0.955280462,,1.25,4.375,,3.014786727,4.092136513,,6.450800107,9.50529507
1.235903848,0.943710265,,6.758700142,6.726750361,,1.25,4.6875,,0.829108925,5.486325529,,7.318177493,0.655429148
2.997809727,6.949254968,,2.942347859,6.736965915,,1.25,5,,3.797480679,6.796905963,,3.85931814,6.347655781
6.690199713,4.357063328,,0.880159517,4.460688002,,1.25,5.3125,,2.882960798,3.680455966,,3.082253424,0.655876243
9.250709947,4.172062052,,1.926290961,8.89901932,,1.25,5.625,,1.545171875,5.0176901,,0.467955637,1.987381718
4.928480728,6.389717149,,7.04322561,5.755703965,,1.25,5.9375,,0.20423237,5.088560998,,9.616256681,4.641190833
3.298132063,8.030687205,,3.039810759,0.573095541,,1.25,6.25,,2,6.935225702,,0.883966167,7.486830995
9.114355989,9.951131127,,9.922066595,2.85303181,,1.25,6.5625,,0.230559129,4.946411766,,9.699190668,6.910138536
6.771249548,3.630894016,,6.776789664,1.420259601,,1.25,6.875,,1.365551282,5.163747222,,4.882557854,0.70028451
7.288356916,2.76541045,,4.997332475,5.258035187,,1.25,7.1875,,1.86181063,3.862286202,,5.759389856,6.969861818
1.765194492,5.615191718,,9.886828332,7.222709777,,1.25,7.5,,1.185547416,5.593724261,,1.320529454,3.4188043
2.283267892,6.523633384,,3.034733721,6.432018909,,1.25,7.8125,,0.716987833,4.256272637,,3.785191793,3.194818648
1.728149942,6.699392228,,5.146582758,3.850248839,,1.25,8.125,,0.872771139,5.687105109,,4.778437379,2.998575945
7.416014706,7.632092695,,5.946736229,3.411522193,,1.25,8.4375,,1.452714229,4.643584247,,5.533269682,7.93128415
0.471810958,4.416736289,,9.478145482,6.380908291,,1.25,8.75,,2.297134962,4.881672957,,0.80376561,2.627462113
9.75220836,8.072811366,,0.967444757,8.26151067,,1.25,9.0625,,1.003554873,4.093323925,,4.058366843,6.187529466
0.978262083,4.209564302,,4.982897947,1.458750912,,1.25,9.375,,2.022373873,3.473491002,,2.533913434,4.978832641
6.33100397,8.900008882,,8.24187617,9.879720135,,1.25,9.6875,,2.765875702,5.144698345,,5.509909858,1.295629536
6.903634264,6.828615338,,5.484730223,4.930203678,,1.25,10,,3.005184325,3.982708482,,9.648635141,0.198700316
2.768189064,7.706931177,,4.613726349,4.746460275,,1.5625,0.3125,,2.794537917,5.884246114,,8.673264218,3.7872231
5.247982527,0.626923231,,9.447664995,5.956284415,,1.5625,0.625,,3.046902462,6.377285987,,3.297388663,1.634086899
9.461285842,8.275344633,,6.167465758,5.379846424,,1.5625,0.9375,,2.318844689,5.150374408,,9.877569108,7.337541846
3.53924568,4.609454342,,5.669052557,0.459175869,,1.5625,1.25,,3.218223551,5.452922768,,5.556164896,1.402815515
1.337136713,5.366156988,,4.690465838,0.07643426,,1.5625,1.5625,,0.425626326,6.147432174,,1.923065583,7.217096732
1.91772317,2.121232606,,2.445126772,4.719735971,,1.5625,1.875,,1.918132618,6.728043139,,7.09428024,7.690692411
3.937190211,1.455476989,,4.879098976,5.962790432,,1.5625,2.1875,,1.243606217,4.247117194,,9.620192446,8.82135239
7.034319076,4.779309368,,1.656054822,7.613089502,,1.5625,2.5,,4.258383078,6.477475996,,4.436331921,3.060556092
2.520628355,0.734957999,,4.874412876,2.585215281,,1.5625,2.8125,,3.856650242,4.661329024,,6.997061344,2.442500072
3.16596766,6.623593231,,5.279484391,4.678796032,,1.5625,3.125,,0.46343687,5.523842961,,8.206953284,8.546374102
8.207903091,3.036054804,,9.193621072,5.906805637,,1.5625,3.4375,,0.353103122,2.952460551,,5.823789845,8.514385526
4.009643673,2.764657971,,1.868560695,3.148478729,,1.5625,3.75,,3.647930586,4.258419883,,7.434778891,5.790992364
7.520723567,4.017989712,,5.036991882,6.670368733,,1.5625,4.0625,,1.520312207,4.168041659,,2.815382645,4.626720187
2.024607075,7.972057817,,4.560747538,5.953695257,,1.5625,4.375,,1.553788707,5.68983897,,5.15698672,7.434406244
7.503827465,1.95615152,,1.508971173,5.804504512,,1.5625,4.6875,,2.546741039,3.769758376,,4.11790148,8.816471687
2.778015168,5.577831432,,5.016280146,1.0081091,,1.5625,5,,2.599945318,5.892590763,,2.619101724,5.372397573
6.047464809,1.517655977,,7.371338933,2.40263384,,1.5625,5.3125,,0.999150283,5.003627048,,6.085222549,5.998521086
9.803235222,8.456450639,,3.33986834,5.732144008,,1.5625,5.625,,3.179262583,5.491985343,,5.83015087,3.157343527
7.978321752,5.307795685,,6.004672137,6.462953466,,1.5625,5.9375,,3.268429069,5.746349238,,5.909169278,6.431086309
0.347044311,3.814644556,,8.117881258,7.621009797,,1.5625,6.25,,0.99849119,3.485889716,,6.928604598,6.850803606
0.781883817,5.648149048,,8.763422501,1.174627396,,1.5625,6.5625,,1.223010948,5.475906128,,6.215085689,0.772391715
5.423626612,6.651936419,,2.888443901,8.359788508,,1.5625,6.875,,0.678723377,4.161827244,,7.009831786,7.458326066
6.326128071,3.041679485,,5.344765827,6.530929535,,1.5625,7.1875,,2.427088243,5.58636226,,0.560029836,6.460869959
7.318818194,0.838710319,,1.772674842,2.656217922,,1.5625,7.5,,0.952284744,3.892014322,,8.585808217,3.721253694
2.045636505,8.980770104,,2.707483033,6.261386652,,1.5625,7.8125,,3.214311891,4.07712983,,8.605859038,4.233934591
1.038079339,5.437062734,,9.233381329,2.402921356,,1.5625,8.125,,2.081046295,5.000905835,,1.25222519,6.341843408
7.840511306,9.310815425,,0.976908243,9.675198627,,1.5625,8.4375,,1.578435493,4.685089095,,0.747125983,1.864668259
0.647869275,0.709861409,,6.176910285,0.913087599,,1.5625,8.75,,1.818399506,5.346814948,,3.729647908,8.690838564
8.647674624,9.237970783,,9.672527304,1.7194787,,1.5625,9.0625,,0.602549128,4.172398272,,8.899479695,6.390377201
9.722701447,8.290975493,,8.476743139,0.547116901,,1.5625,9.375,,1.399063176,3.934356359,,3.708201411,9.058197308
1.034265411,5.909538117,,5.665536766,8.9036108,,1.5625,9.6875,,1.136295127,4.580293252,,5.58899298,3.230088088
2.434392715,2.384733085,,2.140681138,5.828789575,,1.5625,10,,2.946198951,5.316157511,,9.213513564,4.160227746
3.934316135,5.090779133,,8.667391682,1.68605034,,1.875,0.3125,,2.211389753,3.228380005,,9.726195768,3.444286904
5.23468927,9.764022225,,3.460889115,5.896903473,,1.875,0.625,,2.561818718,5.668836932,,3.732562956,1.988694815
4.231396343,0.299102486,,4.344352664,9.498269052,,1.875,0.9375,,1.589193336,3.860637029,,7.778758074,7.132121867
6.610212534,8.855355929,,7.507929654,8.778857852,,1.875,1.25,,0.673575032,4.514387054,,3.9122663,8.788966948
7.097648188,9.769362076,,6.183608566,0.542024856,,1.875,1.5625,,3.74626486,5.303317099,,2.168791165,6.858836833
5.861943029,3.342754989,,8.273950145,8.430023053,,1.875,1.875,,3.373591511,6.022274837,,8.394132649,5.583540548
3.494673465,0.695661991,,1.838713607,7.258666642,,1.875,2.1875,,3.360565864,7.059396718,,2.866735931,4.314251315
9.107847383,0.661497395,,4.453264711,4.156914615,,1.875,2.5,,3.84155336,3.851009618,,0.18628628,9.91803886
8.327786188,6.560464785,,2.970878966,6.590511828,,1.875,2.8125,,2.322399334,6.633829745,,6.873103844,6.203753261
5.008049381,6.415325818,,9.32292367,8.930516792,,1.875,3.125,,1.218139346,4.095319693,,3.063926277,9.372375571
6.98880808,3.78086339,,3.154608811,5.234408005,,1.875,3.4375,,1.702827303,6.284883384,,7.448955228,2.846354294
9.360527578,3.292643379,,8.55935922,1.092644124,,1.875,3.75,,3.171788171,6.21298129,,6.764874186,4.322697452
1.532380503,2.307817419,,7.516951304,0.231251834,,1.875,4.0625,,1.747363199,6.547744274,,0.874315051,2.569627721
6.006476749,9.818988614,,2.028110199,7.479900809,,1.875,4.375,,1.904376309,4.380521271,,9.910231003,3.272270953
2.941714031,0.178008519,,1.940849111,7.28158936,,1.875,4.6875,,2.960750702,6.301968373,,1.293441725,3.808537005
8.185702823,1.724688593,,4.170074485,3.075720097,,1.875,5,,1.784462042,5.167822975,,9.598242636,3.567215538
0.219031443,1.557697636,,2.88176142,6.718253983,,1.875,5.3125,,2.747143032,7.800461628,,4.734650043,1.518497606
1.643506499,9.43438818,,1.89161074,9.528179588,,1.875,5.625,,0.798818364,5.320320873,,6.30063056,1.724010579
5.73157869,3.460979788,,8.96563943,1.887786619,,1.875,5.9375,,2.035806708,6.423831275,,6.655652075,1.985860955
8.340106816,4.523039049,,4.303424039,5.520152203,,1.875,6.25,,2,6.208089074,,9.93046058,9.280886379
7.441902185,5.165577959,,4.350613931,0.418193984,,1.875,6.5625,,2.693241839,4.977405896,,3.873073274,0.542093618
1.134491535,7.062960105,,4.614850983,0.628290432,,1.875,6.875,,1.163746037,5.44602898,,3.061368908,9.046995512
3.44956594,3.889009548,,4.327051507,4.240626131,,1.875,7.1875,,2.04069494,5.837450216,,2.696106635,0.744421662
8.760861279,4.596902076,,0.668337458,5.602548649,,1.875,7.5,,2.825641894,4.409699886,,4.509999217,4.830356882
8.355042479,0.229425669,,9.516340124,0.238026188,,1.875,7.8125,,1.160639473,5.939079388,,7.125563172,9.00311669
5.599611834,9.274973765,,9.224123203,4.953550498,,1.875,8.125,,1.137744937,5.582491751,,0.528511061,3.769878371
4.357201982,5.926665193,,0.364610957,8.515294693,,1.875,8.4375,,2.491650042,3.978136086,,5.50191718,3.589738946
9.377237927,3.166644535,,2.133392775,1.125450637,,1.875,8.75,,1.194266959,4.942840178,,9.807409455,5.495791936
4.596865481,9.582678893,,5.545168726,6.58471846,,1.875,9.0625,,1.855459682,4.647007471,,4.821699283,2.020408796
4.435148922,0.277118949,,7.858689995,0.741790201,,1.875,9.375,,4.388303559,4.932069949,,3.71390657,4.365349675
1.353311648,1.399716399,,2.822046213,8.153314103,,1.875,9.6875,,1.325312035,4.452644528,,0.792975951,3.62304175
7.144779929,6.71665792,,2.958631228,7.023539762,,1.875,10,,1.770405649,5.028654835,,1.324232995,1.35267792
6.166749712,9.070636385,,4.824926713,6.684353559,,2.1875,0.3125,,3.333224146,3.057261461,,9.226790443,1.137126183
8.687733196,4.517167446,,4.918329602,1.363009613,,2.1875,0.625,,2.556800129,5.353586634,,7.563413332,9.058103058
6.132983579,5.143566341,,6.223902648,9.175159271,,2.1875,0.9375,,1.800586987,4.893302343,,6.180384292,2.303077089
2.853130101,4.275167295,,3.180112807,1.82637806,,2.1875,1.25,,3.640279741,4.389135401,,7.437504865,7.662679667
9.94766653,7.834936115,,4.886743704,0.362006244,,2.1875,1.5625,,1.433184657,6.340710405,,1.953271242,0.706732624
6.342384705,5.63723262,,0.781515447,2.726466427,,2.1875,1.875,,3.355557944,5.077450462,,1.083975692,6.213414343
4.777070524,4.009301087,,2.581801143,1.546984348,,2.1875,2.1875,,2.483955886,4.417846726,,7.314599505,8.816800711
3.274599469,4.454918565,,4.772741082,5.941230913,,2.1875,2.5,,2.966240306,4.694982726,,7.629550578,9.084168326
9.837573957,0.884987924,,9.022945614,4.341638168,,2.1875,2.8125,,2.71034379,3.747152469,,7.724009337,4.023786715
0.486294663,3.519444454,,7.469551281,9.438466033,,2.1875,3.125,,3.170063173,6.133707897,,6.278004408,7.1485346
8.660802007,1.076184528,,1.827598492,3.258318656,,2.1875,3.4375,,3.108674269,3.707564786,,1.87421677,1.694637238
1.045675466,3.996578877,,0.495615174,7.55236599,,2.1875,3.75,,2.669992464,5.254183889,,2.99101807,5.365282221
9.915556663,0.482293222,,4.10954054,1.805760227,,2.1875,4.0625,,1.638131816,6.159800719,,0.445259347,7.789634426
9.312188965,1.301258848,,3.329020035,0.468426472,,2.1875,4.375,,2.824435085,2.877753477,,5.959018822,4.353055662
7.797449821,0.834015642,,3.889170145,1.064026286,,2.1875,4.6875,,2.617937218,6.12619007,,9.990165945,7.198418946
7.877210754,1.324224857,,8.50073297,4.110037035,,2.1875,5,,3.191535836,4.116856562,,9.087128608,6.043915988
6.483487927,7.187087058,,7.624690559,1.302289274,,2.1875,5.3125,,1.110569296,5.191897527,,1.213037662,9.124390951
4.357415625,6.178066992,,9.38530853,6.404377944,,2.1875,5.625,,2.913056039,6.355368121,,9.694435472,5.675379141
4.245128384,9.259929739,,0.190487282,9.458691146,,2.1875,5.9375,,2.640533735,4.308516626,,5.941909194,3.444833242
0.887343584,2.551710376,,6.204003434,7.106381933,,2.1875,6.25,,1.559152601,5.476390482,,7.314963417,6.59763533
7.21401224,3.695551469,,9.938253769,1.44081201,,2.1875,6.5625,,0.8164807,3.298389337,,7.876024802,7.216281844
2.069035411,6.6179377,,8.407150395,6.927243024,,2.1875,6.875,,1.628922247,5.634995881,,8.007480699,8.48176013
3.503512204,3.569668359,,3.72380701,9.409041802,,2.1875,7.1875,,1.382840536,3.910233615,,1.389590686,9.831476646
0.471796112,2.513482329,,9.702821502,7.454379852,,2.1875,7.5,,2.173980715,6.011217465,,8.943520836,7.305378272
9.562480431,1.751491444,,1.531664048,5.429183928,,2.1875,7.8125,,3.50743306,4.814069508,,2.692113482,5.340451653
1.880005434,2.371715046,,9.574874905,2.062014253,,2.1875,8.125,,3.190591731,5.805682988,,8.927692253,7.897263507
7.38042685,1.919370583,,4.919675787,1.884925871,,2.1875,8.4375,,2.521151023,5.000855435,,8.579488794,9.53564995
4.59039439,2.356965502,,3.80884093,3.990762486,,2.1875,8.75,,0.161631235,4.521073325,,8.741204045,8.207451816
0.102160377,2.370582157,,6.466568842,8.476050355,,2.1875,9.0625,,2.010459863,3.599753187,,2.652246479,6.816921646
2.794346006,3.860722537,,4.294903997,6.940974444,,2.1875,9.375,,1.40036242,5.355320203,,2.365855074,6.800594493
3.257341398,8.55650624,,2.360535599,9.925965751,,2.1875,9.6875,,2.01973374,5.633793687,,7.295837712,1.242239406
0.697499238,8.598856328,,1.103039621,4.979566724,,2.1875,10,,0.658455123,3.577410249,,9.318437165,7.229417795
5.318117931,4.582776594,,1.754603297,1.931107485,,2.5,0.3125,,4.144635291,7.009989972,,0.951163022,9.205796545
1.0890036,7.584063037,,6.06223792,2.61473788,,2.5,0.625,,0.698325988,6.629423988,,1.398224706,6.339596394
3.176387407,3.831766821,,0.478191828,7.15586475,,2.5,0.9375,,3.340438025,4.700365442,,9.557739608,8.688619278
2.87755849,2.037623648,,7.966109813,8.378785805,,2.5,1.25,,1.04466478,2.087520176,,7.258076172,4.376302919
